2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:50||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:51||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:51||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:51||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:51||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
